Number,Amount Funded
1,3551575825
2,1159299756
3,1102698589
4,1096584588
5,453077654
6,340367208
7,326181232
8,324190896
9,316615113
10,310185002
11,284612602
12,277619307
13,247188108
14,238174512
15,234766829
16,200007147
17,194997447
18,188869247
19,183825370
20,156750667
21,154920116
22,148396309
23,147579248
24,146282312
25,144934866
26,141328257
27,140594196
28,130793022
29,130223160
30,127854894
31,126965239
32,122822145
33,115653064
34,112142891
35,105960468
36,103553950
37,100698761
38,98378236
39,97679449
40,83363426
41,82498086
42,82035373
43,77610247
44,74469546
45,71227219
46,71089682
47,70203075
48,69843541
49,65275000
50,64550325
51,62949472
52,61015278
53,59183876
54,54575976
55,53194668
56,53115202
57,51462224
58,51138613
59,50274304
60,50001239
61,49701932
62,49698602
63,48331697
64,47982279
65,46382532
66,45077496
67,43625361
68,42802773
69,42434000
70,41947481
71,40976782
72,40627414
73,40283300
74,40135943
75,39425364
76,39256924
77,37910441
78,37389241
79,37277570
80,36915000
81,36909296
82,36703571
83,36089943
84,35577613
85,34527893
86,33604710
87,33048721
88,32831700
89,32664984
90,31937445
91,31703096
92,31379244
93,31363989
94,30877997
95,30574825
96,30555204
97,29708540
98,29686999
99,29628329
100,29591113
101,29305843
102,29028789
103,28750877
104,28357575
105,28098988
106,27213490
107,26398743
108,25921500
109,25375397
110,24984852
111,24206480
112,23658361
113,23570000
114,23549200
115,23052099
116,22918975
117,22883916
118,22655541
119,22399162
120,21876516
121,21617770
122,21338379
123,21130609
124,20838480
125,20698847
126,20497052
127,20279726
128,20149287
129,20064075
130,20000000
131,19992883
132,19966500
133,19916469
134,19727551
135,19667790
136,19317822
137,18732581
138,18653042
139,18056636
140,18037930
141,17974600
142,17746227
143,17682257
144,17670095
145,17499000
146,17446500
147,17128371
148,16999620
149,16892374
150,16822354
151,16718990
152,16536385
153,16525277
154,16372776
155,16370025
156,16200901
157,16159000
158,16150700
159,15985766
160,15768362
161,15751099
162,15407424
163,15102436
164,15004332
165,14819138
166,14206511
167,13961740
168,13528137
169,13489695
170,13410000
171,13173515
172,12988128
173,12900389
174,12784626
175,12784300
176,12755000
177,12497414
178,12290377
179,12073758
180,11996630
181,11964092
182,11824512
183,11807919
184,11764931
185,11750000
186,11305743
187,11210079
188,11189600
189,11034450
190,10939076
191,10928718
192,10909504
193,10775000
194,10764294
195,10405428
196,10394500
197,10341814
198,10311074
199,10269843
200,10218700
201,10199840
202,10176774
203,10152097
204,10115043
205,10050000
206,10025000
207,9991349
208,9961000
209,9949495
210,9926500
211,9819100
212,9761014
213,9755000
214,9741700
215,9735575
216,9627837
217,9584266
218,9566000
219,9381612
220,9369641
221,9353500
222,9345967
223,9282750
224,9280000
225,9175360
226,9034295
227,8934085
228,8902733
229,8872295
230,8850721
231,8839832
232,8786113
233,8744736
234,8739203
235,8654246
236,8641867
237,8456415
238,8375013
239,8160615
240,8092552
241,8076152
242,8060127
243,8033500
244,7978360
245,7929599
246,7904794
247,7853313
248,7762200
249,7715557
250,7692474
251,7648730
252,7633952
253,7600000
254,7569507
255,7541666
256,7508100
257,7505000
258,7495775
259,7427769
260,7400814
261,7384344
262,7340601
263,7334900
264,7332318
265,7286477
266,7268819
267,7264293
268,7234791
269,7225500
270,7207200
271,7183320
272,7150000
273,7130515
274,7100950
275,7078711
276,7064680
277,7059400
278,7058200
279,7044142
280,6998000
281,6986500
282,6937068
283,6897690
284,6885000
285,6816000
286,6779686
287,6728500
288,6720950
289,6681720
290,6675000
291,6632232
292,6629891
293,6605000
294,6539400
295,6497000
296,6495000
297,6493700
298,6467955
299,6457199
300,6420690
301,6401000
302,6400984
303,6367178
304,6360000
305,6235000
306,6197822
307,6151339
308,6135477
309,6114712
310,6085000
311,6084606
312,6061750
313,6032500
314,6000000
315,5994687
316,5836980
317,5832176
318,5807306
319,5750000
